EXP1,CPU,100,100,0,32,18518520
EXP1,CPU,500,500,0,32,18801234
EXP1,CPU,1500,1500,0,32,18181964
EXP1,CPU,5000,5000,0,32,18687634
EXP1,CPU,15000,15000,0,32,18603040

EXP1,CUDA,100,100,0,32,185910160
EXP1,CUDA,500,500,0,32,669576000
EXP1,CUDA,1500,1500,0,32,793107840
EXP1,CUDA,5000,5000,0,32,798208448
EXP1,CUDA,15000,15000,0,32,748057600

EXP1,OPENCL,100,100,0,32,278097952
EXP1,OPENCL,500,500,0,32,706491136
EXP1,OPENCL,1500,1500,0,32,795296832
EXP1,OPENCL,5000,5000,0,32,806557376
EXP1,OPENCL,15000,15000,0,32,809612544

EXP2,CUDA,128,128,0,32,271407680
EXP2,CUDA,512,512,0,32,684278656
EXP2,CUDA,1024,1024,0,32,737541440
EXP2,CUDA,2048,2048,0,32,785619776
EXP2,CUDA,4096,4096,0,32,798431488
EXP2,CUDA,8192,8192,0,32,790354304

EXP2,OPENCL,128,128,0,32,375047424
EXP2,OPENCL,512,512,0,32,711076928
EXP2,OPENCL,1024,1024,0,32,748140544
EXP2,OPENCL,2048,2048,0,32,788808256
EXP2,OPENCL,4096,4096,0,32,804141568
EXP2,OPENCL,8192,8192,0,32,808297792

EXP3,CUDA,8192,8192,0,32,790300928
EXP3,CUDA,8192,8192,0,64,798239360
EXP3,CUDA,8192,8192,0,96,798135616
EXP3,CUDA,8192,8192,0,128,798403904
EXP3,CUDA,8192,8192,0,160,797824320
EXP3,CUDA,8192,8192,0,192,797447936
EXP3,CUDA,8192,8192,0,30,786927040
EXP3,CUDA,8192,8192,0,60,796186112
EXP3,CUDA,8192,8192,0,90,795495424
EXP3,CUDA,8192,8192,0,120,795236672
EXP3,CUDA,8192,8192,0,150,794290432
EXP3,CUDA,8192,8192,0,190,796472000

EXP3,OPENCL,8192,8192,0,32,808240576
EXP3,OPENCL,8192,8192,0,64,817374976
EXP3,OPENCL,8192,8192,0,96,817234048
EXP3,OPENCL,8192,8192,0,128,817465344
EXP3,OPENCL,8192,8192,0,160,816801280
EXP3,OPENCL,8192,8192,0,192,816581888
EXP3,OPENCL,8192,8192,0,30,806514368
EXP3,OPENCL,8192,8192,0,60,816437504
EXP3,OPENCL,8192,8192,0,90,816093696
EXP3,OPENCL,8192,8192,0,120,816357632
EXP3,OPENCL,8192,8192,0,150,815603840
EXP3,OPENCL,8192,8192,0,190,816252416

EXP4,CUDA,8192,8192,0,1,171243728
EXP4,CUDA,8192,8192,0,2,383936960
EXP4,CUDA,8192,8192,0,4,557412480
EXP4,CUDA,8192,8192,0,8,678071104
EXP4,CUDA,8192,8192,0,16,750645504
EXP4,CUDA,8192,8192,1,1,176134640
EXP4,CUDA,8192,8192,1,2,465664704
EXP4,CUDA,8192,8192,1,4,654740544
EXP4,CUDA,8192,8192,1,8,739804544
EXP4,CUDA,8192,8192,1,16,781216512

EXP4,OPENCL,8192,8192,0,1,421549280
EXP4,OPENCL,8192,8192,0,2,547957952
EXP4,OPENCL,8192,8192,0,4,663837824
EXP4,OPENCL,8192,8192,0,8,739611840
EXP4,OPENCL,8192,8192,0,16,784339328
EXP4,OPENCL,8192,8192,1,1,431701440
EXP4,OPENCL,8192,8192,1,2,664625216
EXP4,OPENCL,8192,8192,1,4,777048512
EXP4,OPENCL,8192,8192,1,8,804414592
EXP4,OPENCL,8192,8192,1,16,816254912
